Gene	SimesP
LINC00115	0.0208068239985922
FAM87B	0.0144866878304907
LINC01128	0.0208068239985922
FAM41C	0.0208068239985922
TUBB8P11	0.0208068239985922
LINC02593	0.0449353208597096
SAMD11	0.00537250300117163
NOC2L	0.00473187786706656
KLHL17	0.00523886478139512
PLEKHN1	0.004909768012445
PERM1	0.00515881421597482
HES4	0.00560099829162981
ISG15	0.00583803113469251
AGRN	0.00670628180775679
PTPN11BP	0.0121077630275952
RNF223	0.0122592760787077
C1orf159	0.00503236488586024
LINC01342	0.00352265542010217
MIR200B	0.00254134426735942
MIR200A	0.00254134426735942
MIR429	0.00241553514521292
TTLL10-AS1	0.0021639169009199
TTLL10	0.00249102061850082
TNFRSF18	0.015341080818944
TNFRSF4	0.0138564600945301
SDF4	0.0136090233071278
B3GALT6	0.00915516113388596
C1QTNF12	0.00535772842005967
UBE2J2	0.00592169983269753
LINC01786	0.00507574271374074
SCNN1D	0.00477488335953342
ACAP3	0.00309722163861628
MIR6726	0.00434417725045761
PUSL1	0.00154861081930814
INTS11	0.00141955991769913
MIR6727	0.00141955991769913
CPTP	0.00129050901609011
TAS1R3	0.0011614581144811
DVL1	0.00103240721287209
MIR6808	0.00103240721287209
MXRA8	0.00126705169805014
AURKAIP1	0.000580729057240552
NDUFB4P8	0.000774305409654069
CCNL2	0.00271006893378924
MRPL20-AS1	0.00458088949942259
MRPL20	0.00458088949942259
RN7SL657P	0.00458088949942259
MRPL20-DT	0.0236071506746711
ANKRD65	0.0236071506746711
ANKRD65-AS1	0.0236071506746711
TMEM88B	0.0236071506746711
LINC01770	0.0236071506746711
VWA1	0.0236071506746711
ATAD3C	0.0236071506746711
ATAD3B	0.00217852319862135
ATAD3A	0.00215982501031191
TMEM240	0.00215982501031191
SSU72	0.00249497027053273
SSU72-AS1	0.00249497027053273
FNDC10	0.00284024324000704
MIB2	0.00415275460699429
MMP23B	0.0381753708480068
CDK11B	0.0381753708480068
SLC35E2A	0.0397261106358925
NADK	0.0425535468094493
GNB1	0.0425535468094493
GNB1-DT	0.038087826684168
CALML6	0.0384887511755803
TMEM52	0.0384887511755803
CFAP74	0.0386605759576142
PRKCZ-DT	0.0419172033637886
PRKCZ	0.0461687706342228
PRKCZ-AS1	0.0277012623805337
FAAP20	0.0369350165073782
SKI	0.0465548683688849
MORN1	0.0495773683664142
RER1	0.0495773683664142
PEX10	0.0495773683664142
PLCH2	0.00265530171939492
PANK4	0.00201344434573917
HES5	0.00186962689247209
TNFRSF14-AS1	0.00257838061840856
TNFRSF14	0.0028127788564457
PRXL2B	0.00341265754277216
MMEL1	0.00345785830492808
MMEL1-AS1	0.0028803796022119
TTC34	0.00339473310260688
ACTRT2	0.0477851325217542
PRDM16-DT	0.0493206864862848
PRDM16	0.0171704952049425
MIR4251	0.027377155950127
ARHGEF16	0.00505997405927817
MEGF6	0.0486794547555562
MIR551A	0.0486794547555562
TPRG1L	0.0350629146739814
WRAP73	0.0350629146739814
TP73	0.0333701227427588
TP73-AS3	0.0350629146739814
TP73-AS2	0.0222467484951725
GFOD3P	0.0302912927145807
CCDC27	0.025717808428637
SMIM1	0.024657739891657
LRRC47	0.0189674922243515
RN7SL574P	0.0217568293161679
CEP104	0.0210223038819896
DFFB	0.0193061974426435
C1orf174	0.0206604487734344
LINC01134	0.0274546469907997
LINC01346	0.0362958743404127
LINC01345	0.0362958743404127
LINC02780	0.036991439876553
EEF1DP6	0.0350498105838485
LINC01777	0.0488061124841983
LINC01646	0.0494413667958783
AJAP1	0.0445628963067186
LINC02781	0.00277826812627468
LINC02782	0.00988306287834449
MIR4689	0.0181839936118892
NPHP4	0.0220138974660329
KCNAB2	0.028303582456328
CHD5	0.048428941363018
RPL22	0.0488361829103183
RNF207-AS1	0.0488361829103183
RNF207	0.0487979237734029
ICMT	0.044586182313653
ICMT-DT	0.0386757042044846
HES3	0.0380140204292838
GPR153	0.0350483876298361
ACOT7	0.0370760864623844
HES2	0.0482596771079697
ESPN	0.0483894140458129
MIR4252	0.0484485603843218
TNFRSF25	0.0448822537605802
PLEKHG5	0.0305936612624022
NOL9	0.0282494716332052
RNU6-731P	0.026510390046176
TAS1R1	0.0256620575646984
ZBTB48	0.0212823427621479
KLHL21	0.0210808531265299
PHF13	0.0221794558592307
THAP3	0.0199236814115171
DNAJC11	0.0093211105271467
LINC01672	0.00651312598084376
CAMTA1	0.0149922938804147
CAMTA1-AS3	0.0430335316643538
RNU1-8P	0.0482349000672079
CAMTA1-IT1	0.00986409833206145
CAMTA1-AS2	0.00976344426744857
CAMTA1-AS1	0.00760484413049986
VAMP3	0.0494825172971655
PER3	0.0494825172971655
UTS2	0.0391433936338809
TNFRSF9	0.0326194946949007
PARK7	0.0062458983422992
Y_RNA	5.09878376068392e-142
ERRFI1	0.0062458983422992
ERRFI1-DT	0.0263166625341784
RPL7AP18	0.0062458983422992
LINC01714	0.0272429218780315
RNU1-7P	0.0251997027371792
RNU6-991P	0.0498978801545699
SLC45A1	0.0226451670093345
RERE	0.0490552849209242
RERE-AS1	0.0356718319884903
RPL7P11	0.0358375730983664
RPL7P7	0.03626670967141
RPL23AP19	0.0194285944668268
ENO1	0.0335750419345846
MIR6728	0.0352537940313139
ENO1-AS1	0.0294419565928854
RNU6-304P	0.0294419565928854
HMGN2P17	0.0294419565928854
CA6	0.0476849875935698
RN7SL451P	0.0477251213513079
SLC2A7	0.0469371090061133
SLC2A5	0.0469371090061133
GPR157	0.0368120703865621
MIR34AHG	0.0275569411623538
MIR34A	0.0230992006802084
LNCTAM34A	0.0272437941036907
H6PD	0.0276872078059329
SPSB1	0.0243829206823466
LINC02606	0.0312565912385467
RNA5SP40	0.0338150745813353
SLC25A33	0.0432435349474135
TMEM201	0.0382825182058422
PIK3CD	0.0386416539478178
PIK3CD-AS1	0.0386416539478178
PIK3CD-AS2	0.0386416539478178
CLSTN1	0.01603921515995
CTNNBIP1	0.00795744661529127
CTNNBIP1-AS1	0.00795744661529127
KIF1B	0.0459642104300881
