phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p,LOC
SSc,Sjogren,0.31513,-0.27883,1,0.0993072,0,1,0.276292,16
SLE_Discovery,RA,0.905324,0.755,1,0.819611,0.57002,1,4.2067e-21,100
SLE_Discovery,RA,-0.082654,-0.44099,0.25869,0.00683168,0,0.1998,0.626171,118
SLE_Discovery,RA,0.695983,0.46008,0.98213,0.484393,0.21167,0.96457,2.44702e-07,130
SLE_Discovery,SSc,0.573164,0.30535,0.9068,0.328517,0.09324,0.82229,8.11126e-05,130
RA,SSc,0.220139,-0.14085,0.62917,0.0484613,0,0.39659,0.234648,130
SLE_Discovery,RA,-0.22398,-0.65431,0.15677,0.0501669,0,0.42813,0.231803,271
SLE_Discovery,Sjogren,0.0206926,-0.74271,0.84176,0.000428182,0,1,0.947184,271
RA,Sjogren,0.717181,0.24576,1,0.514348,0.0606,1,0.00431728,271
SLE_Discovery,RA,0.303046,-0.19606,1,0.0918368,0,1,0.210276,306
SLE_Discovery,Sjogren,-0.389803,-1,0.10055,0.151946,0,1,0.106493,311
SLE_Discovery,RA,0.734271,0.5787,0.9089,0.539154,0.33489,0.8261,1.92424e-15,374
SLE_Discovery,SSc,0.727172,0.45028,1,0.528779,0.20275,1,1.01115e-06,374
SLE_Discovery,Sjogren,0.58434,0.42829,0.75504,0.341453,0.18343,0.57009,7.03947e-11,374
RA,SSc,1,0.64243,1,1,0.41271,1,1.2128e-07,374
RA,Sjogren,0.79615,0.57679,1,0.633855,0.33269,1,2.84053e-10,374
SSc,Sjogren,1,0.64699,1,1,0.4186,1,1.18611e-08,374
SLE_Discovery,Sjogren,-0.0143026,-0.47105,0.46444,0.000204564,0,0.29211,0.947374,408
SLE_Discovery,RA,0.176899,-0.47945,0.98079,0.0312934,0,1,0.546646,691
SLE_Discovery,RA,-0.02342,-0.44067,0.39591,0.000548495,0,0.2422,0.904878,898
SLE_Discovery,SSc,0.106397,-0.38775,0.67222,0.0113204,0,0.47588,0.646493,898
SLE_Discovery,Sjogren,-0.102989,-0.65072,0.38232,0.0106067,0,0.45199,0.65122,898
RA,SSc,0.591217,0.08197,1,0.349538,0.01023,1,0.0261519,898
RA,Sjogren,0.42831,-0.10047,1,0.18345,0,1,0.0996968,898
