phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p,LOC
SLE_Discovery,SLE_Replication,-0.284736,-0.98111,0.25562,0.0810747,0,0.96978,0.273005,7
SLE_Discovery,SLE_Replication,0.259767,-0.09022,0.65623,0.0674789,0,0.43064,0.144897,9
SLE_Discovery,SLE_Replication,0.913215,0.37391,1,0.833961,0.13981,1,0.00240122,10
SLE_Discovery,SLE_Replication,0.29611,-0.5159,1,0.0876812,0,1,0.405027,11
SLE_Discovery,SLE_Replication,0.401739,0.03861,0.82736,0.161394,0.00341,0.68452,0.0351193,14
SLE_Discovery,SLE_Replication,0.298441,-0.15234,0.83335,0.0890673,0,0.69457,0.172364,15
SLE_Discovery,SLE_Replication,-0.48536,-1,0.05067,0.235574,0,1,0.0711066,16
SLE_Discovery,SLE_Replication,-0.0228805,-0.57393,0.50234,0.000523518,0,0.41726,0.924876,19
SLE_Discovery,SLE_Replication,0.597308,-0.09393,1,0.356777,0,1,0.0931083,23
SLE_Discovery,SLE_Replication,-0.303982,-1,0.58383,0.0924048,0,1,0.432354,25
SLE_Discovery,SLE_Replication,0.309963,0.01419,0.63538,0.0960772,0.00154,0.40371,0.0424688,26
SLE_Discovery,SLE_Replication,-0.365092,-1,0.51348,0.133292,0,1,0.350486,33
SLE_Discovery,SLE_Replication,-0.205069,-0.88343,0.35123,0.0420534,0,0.79776,0.428123,36
SLE_Discovery,SLE_Replication,0.358604,-0.15411,1,0.128597,0,1,0.157093,38
SLE_Discovery,SLE_Replication,0.390299,-0.34397,1,0.152333,0,1,0.248462,39
SLE_Discovery,SLE_Replication,-0.123844,-0.64276,0.37141,0.0153375,0,0.4308,0.586695,46
SLE_Discovery,SLE_Replication,0.813871,0.30282,1,0.662387,0.09186,1,0.00378404,47
SLE_Discovery,SLE_Replication,0.00883326,-0.66104,0.69135,7.80265e-05,0,0.6727,0.974925,48
SLE_Discovery,SLE_Replication,0.597772,-0.11085,1,0.357331,0,1,0.0968251,49
SLE_Discovery,SLE_Replication,0.0819699,-0.3841,0.56331,0.00671906,0,0.34111,0.705646,52
SLE_Discovery,SLE_Replication,-0.257643,-1,0.36721,0.0663797,0,1,0.373319,53
SLE_Discovery,SLE_Replication,0.664475,0.05375,1,0.441527,0.00933,1,0.0390134,54
SLE_Discovery,SLE_Replication,0.235206,-0.41709,1,0.0553218,0,1,0.423765,58
SLE_Discovery,SLE_Replication,0.323726,-0.15092,0.93256,0.104798,0,0.87649,0.16774,60
SLE_Discovery,SLE_Replication,0.522543,-0.14704,1,0.273051,0,1,0.113046,63
SLE_Discovery,SLE_Replication,-0.0037725,-1,1,1.42318e-05,0,1,0.991976,72
SLE_Discovery,SLE_Replication,1,0.44125,1,1,0.1947,1,0.0013295,73
SLE_Discovery,SLE_Replication,-0.63921,-1,-0.02226,0.408589,0.00868,1,0.0399497,76
SLE_Discovery,SLE_Replication,0.421493,-0.69906,1,0.177656,0,1,0.380227,81
SLE_Discovery,SLE_Replication,-0.674805,-1,-0.10604,0.455362,0.0145,1,0.0252777,83
SLE_Discovery,SLE_Replication,0.630816,-0.17174,1,0.397929,0,1,0.122043,90
SLE_Discovery,SLE_Replication,-0.238093,-0.87487,0.28817,0.0566884,0,0.79332,0.338038,95
SLE_Discovery,SLE_Replication,0.441649,-0.1524,1,0.195054,0,1,0.135877,97
SLE_Discovery,SLE_Replication,0.479274,0.03222,1,0.229704,0.0043,1,0.0386846,98
SLE_Discovery,SLE_Replication,0.0450154,-0.4735,0.57862,0.00202638,0,0.39896,0.849231,101
SLE_Discovery,SLE_Replication,-0.115847,-1,0.88331,0.0134206,0,1,0.763256,105
SLE_Discovery,SLE_Replication,0.683035,0.00858,1,0.466536,0.00875,1,0.0497268,107
SLE_Discovery,SLE_Replication,0.455928,-0.32166,1,0.20787,0,1,0.222723,113
SLE_Discovery,SLE_Replication,-0.00297374,-0.41475,0.39922,8.84314e-06,0,0.2255,0.987776,114
SLE_Discovery,SLE_Replication,0.982585,0.59675,1,0.965473,0.35611,1,2.0691e-05,118
SLE_Discovery,SLE_Replication,-0.129091,-0.54024,0.25732,0.0166645,0,0.29276,0.492295,119
SLE_Discovery,SLE_Replication,-0.431365,-1,0.02265,0.186076,0,1,0.0627002,121
SLE_Discovery,SLE_Replication,0.582478,-0.0685,1,0.33928,0,1,0.0766939,122
SLE_Discovery,SLE_Replication,0.0961885,-0.48064,0.70573,0.00925223,0,0.55684,0.708798,126
SLE_Discovery,SLE_Replication,0.679894,0.34141,1,0.462256,0.11656,1,0.000283531,130
SLE_Discovery,SLE_Replication,0.0853482,-0.28758,0.46233,0.00728432,0,0.21736,0.639275,133
SLE_Discovery,SLE_Replication,-0.125117,-0.9696,0.64352,0.0156542,0,1,0.688831,137
SLE_Discovery,SLE_Replication,0.726857,0.55746,0.90337,0.528322,0.31076,0.81607,7.74138e-12,138
SLE_Discovery,SLE_Replication,0.305535,-0.61419,1,0.0933519,0,1,0.440242,139
SLE_Discovery,SLE_Replication,0.0883023,-0.7076,1,0.0077973,0,1,0.787287,140
SLE_Discovery,SLE_Replication,-0.0147366,-0.77784,0.72643,0.000217168,0,0.87908,0.961725,142
SLE_Discovery,SLE_Replication,0.572926,0.11256,1,0.328244,0.01525,1,0.0204377,152
SLE_Discovery,SLE_Replication,0.687585,0.17217,1,0.472773,0.03312,1,0.0141204,154
SLE_Discovery,SLE_Replication,0.294157,-0.34644,1,0.0865284,0,1,0.321307,155
SLE_Discovery,SLE_Replication,-0.253983,-0.59456,0.06386,0.0645075,0,0.3535,0.111627,156
SLE_Discovery,SLE_Replication,0.931302,0.61853,1,0.867323,0.38257,1,4.07583e-07,159
SLE_Discovery,SLE_Replication,0.212671,-0.17413,0.65178,0.0452291,0,0.42566,0.271748,160
SLE_Discovery,SLE_Replication,0.405252,-0.32412,1,0.164229,0,1,0.237102,162
SLE_Discovery,SLE_Replication,0.0671723,-0.46793,0.6213,0.00451212,0,0.45479,0.783567,163
SLE_Discovery,SLE_Replication,-0.775094,-1,-0.06443,0.600771,0.01266,1,0.0365065,164
SLE_Discovery,SLE_Replication,0.379357,-0.18366,1,0.143912,0,1,0.168494,176
SLE_Discovery,SLE_Replication,0.369571,-0.39993,1,0.136583,0,1,0.303416,177
SLE_Discovery,SLE_Replication,0.0681812,-0.322,0.49174,0.00464868,0,0.25568,0.718831,179
SLE_Discovery,SLE_Replication,0.610329,0.19144,1,0.372501,0.03684,1,0.00564176,184
SLE_Discovery,SLE_Replication,0.265239,-0.36627,1,0.0703515,0,1,0.362978,186
SLE_Discovery,SLE_Replication,0.530534,-0.20633,1,0.281466,0,1,0.142291,189
SLE_Discovery,SLE_Replication,0.114816,-0.53847,0.87128,0.0131828,0,0.84245,0.68641,190
SLE_Discovery,SLE_Replication,0.0834325,-0.49986,0.7213,0.00696099,0,0.59635,0.74854,192
SLE_Discovery,SLE_Replication,-0.226177,-0.64011,0.13524,0.051156,0,0.41048,0.205429,196
SLE_Discovery,SLE_Replication,0.254232,-0.50074,1,0.0646337,0,1,0.44658,197
SLE_Discovery,SLE_Replication,0.38404,-0.2928,1,0.147487,0,1,0.231482,206
SLE_Discovery,SLE_Replication,-0.091182,-1,0.94049,0.00831416,0,1,0.813949,211
SLE_Discovery,SLE_Replication,-0.307977,-0.98105,0.22427,0.0948501,0,0.96511,0.226265,212
SLE_Discovery,SLE_Replication,0.768397,0.1239,1,0.590435,0.0219,1,0.0267092,218
SLE_Discovery,SLE_Replication,0.210049,-0.31595,0.8444,0.0441204,0,0.72212,0.393802,221
SLE_Discovery,SLE_Replication,0.309182,-0.29736,1,0.0955937,0,1,0.28916,223
SLE_Discovery,SLE_Replication,0.361688,-0.06168,0.88166,0.130818,0,0.77733,0.0916583,224
SLE_Discovery,SLE_Replication,0.469437,-0.0251,1,0.220371,0,1,0.0601116,232
SLE_Discovery,SLE_Replication,0.682791,-0.17711,1,0.466204,0,1,0.112602,240
SLE_Discovery,SLE_Replication,-0.315078,-0.96336,0.18396,0.0992744,0,0.9313,0.195014,251
SLE_Discovery,SLE_Replication,-0.627432,-1,-0.12976,0.393671,0.0179,1,0.015521,252
SLE_Discovery,SLE_Replication,0.655675,0.02753,1,0.42991,0.00599,1,0.0439405,268
SLE_Discovery,SLE_Replication,-0.0229045,-0.51036,0.48662,0.000524616,0,0.36222,0.919256,271
SLE_Discovery,SLE_Replication,-0.0136037,-0.95028,0.84562,0.00018506,0,1,0.967257,272
SLE_Discovery,SLE_Replication,-0.138668,-1,0.6527,0.0192289,0,1,0.672112,277
