phen,h2.obs,h2.latent,ascertained,p,LOC
SLE_Discovery,9.1743e-05,0.000689933,FALSE,0.0950825,16
SSc,0.000105731,0.0058204,FALSE,0.0245312,16
Sjogren,0.000225637,0.00420795,FALSE,3.68298e-05,16
SLE_Discovery,0.000381185,0.00286662,FALSE,3.07873e-09,100
RA,0.0044715,0.0195237,FALSE,3.99863e-220,100
Sjogren,1.62847e-05,0.000303697,FALSE,0.335582,100
SLE_Discovery,0.000441313,0.0033188,FALSE,9.17726e-13,118
RA,0.000285697,0.00124743,FALSE,6.80469e-06,118
SSc,6.16623e-05,0.00339447,FALSE,0.0534533,118
Sjogren,1.59165e-07,2.9683e-06,FALSE,0.483415,118
SLE_Discovery,0.000772434,0.00580892,FALSE,3.09456e-24,130
RA,0.000402302,0.00175656,FALSE,7.64252e-08,130
SSc,0.000218793,0.0120444,FALSE,3.5462e-06,130
Sjogren,6.74297e-05,0.00125751,FALSE,0.0622094,130
SLE_Discovery,0.00142235,0.0106965,FALSE,7.35605e-57,138
SSc,1.18892e-05,0.000654489,FALSE,0.380883,138
Sjogren,5.93766e-06,0.000110732,FALSE,0.433346,138
SLE_Discovery,0.000250615,0.0018847,FALSE,0.000213049,271
RA,0.000538911,0.00235303,FALSE,4.46653e-10,271
SSc,5.22434e-05,0.00287596,FALSE,0.142689,271
Sjogren,9.45199e-05,0.00176272,FALSE,0.030821,271
SLE_Discovery,0.000349869,0.00263111,FALSE,2.61237e-08,306
RA,0.000158254,0.000690976,FALSE,0.00875265,306
SLE_Discovery,0.00026574,0.00199844,FALSE,5.95192e-06,311
Sjogren,0.000124677,0.00232512,FALSE,0.00191939,311
SLE_Discovery,0.000158137,0.00118923,FALSE,0.000582328,373
RA,1.59206e-05,6.95133e-05,FALSE,0.360173,373
SSc,1.0745e-05,0.000591506,FALSE,0.355853,373
Sjogren,4.41559e-05,0.000823471,FALSE,0.0911892,373
SLE_Discovery,0.0018112,0.0136207,FALSE,5.01561e-74,374
RA,0.000661746,0.00288936,FALSE,4.45396e-14,374
SSc,0.000146912,0.00808737,FALSE,0.0019074,374
Sjogren,0.000450082,0.00839367,FALSE,5.18744e-15,374
SLE_Discovery,0.000241444,0.00181573,FALSE,0.00017057,408
SSc,3.52338e-05,0.0019396,FALSE,0.217539,408
Sjogren,0.000220317,0.00410873,FALSE,9.61733e-06,408
SLE_Discovery,0.000129565,0.000974363,FALSE,0.00627247,534
RA,3.38307e-06,1.47714e-05,FALSE,0.460479,534
Sjogren,3.469e-05,0.00064694,FALSE,0.166508,534
SLE_Discovery,2.72923e-05,0.000205246,FALSE,0.311234,549
RA,0.00017076,0.000745582,FALSE,0.00832271,549
SLE_Discovery,0.000241617,0.00181703,FALSE,4.47673e-06,561
RA,1.08208e-05,4.72463e-05,FALSE,0.405075,561
SLE_Discovery,0.00021982,0.00165311,FALSE,0.000154081,691
RA,0.000151331,0.000660753,FALSE,0.0117463,691
