pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	0.53921568627451	1	0.051530912208539	0.290522456510364	0.743631302260659	15	GPT2|DLST|L2HGDH	GO_BP
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	0.468714448236633	1	0.0545680646670941	0.302758177850298	0.78904846460892	22	ZC3H12C|PUM1|PLEKHN1|ZFP36L1|MOV10|ZFP36L2|RC3H1|ZC3H12D|ZFP36|KHNYN|CPEB3|NYNRIN|TRIM71|UPF1|DND1|RBM24|PUM2|KHSRP	GO_BP
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	0.699774266365689	1	0.0357690767485421	0.212438809601863	0.554818242230606	24	MAPKAPK2|ELAVL4|BOLL|HNRNPC|TIRAP|ARID5A|MYD88|HNRNPA0|ZFP36|TENT4A|DAZL|TENT4B|METTL16|MAPK14|RBM24|LARP4B|RBM38	GO_BP
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	0.265446224256293	0.905551120740994	0.083129129135339	0.577577456640263	1.50919809253983	21	BCKDK|PDHX|PDHB|PDP1|DLAT|MLYCD	GO_BP
GOBP_ACETYL_COA_METABOLIC_PROCESS	0.446581196581197	1	0.0538979025357319	0.395308473917262	1.04316388423366	39	BCKDK|PDHX|PDHB|PDP1|DLAT|MLYCD|DLST|ACACB	GO_BP
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	0.122842639593909	0.625197943499008	0.123257226381337	0.618012797602745	1.58844046465035	75	TNF|GABBR1	GO_BP
GOBP_ACID_SECRETION	0.0436170212765957	0.365916725835338	0.222056046145248	0.742267904534629	1.9524635574906	42	TNF|GABBR1|SCT	GO_BP
GOBP_ACROSOME_ASSEMBLY	0.518162393162393	1	0.0470699590082662	0.289887094445161	0.764971578863537	39	ZPBP2|ZPBP|CCDC136|NECTIN2|CEP78|SPPL2C|CEP70|GARIN1A|AGFG2|SLC9A8|MYCBPAP|SPINK2|PAFAH1B1|PLN|ACRBP|PDCL2|POC1B|IZUMO3|CCDC42|PLA2G3|KNL1	GO_BP
GOBP_ACROSOME_REACTION	0.673773987206823	1	0.0348652196832942	0.211055001653908	0.556425346427464	40	RAB3A|IFTAP|HVCN1|LCN6|B4GALT1|IQCF1|PLCB1|SPESP1|PLCD4|SERPINA10|HYAL3|PLB1|CCDC87|FER1L5|ZP2|STX2|ABHD2|SYT8|GLRB|UNC13B|PRND|SYT6|GLRA1	GO_BP
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	0.969	1	0.00829069833204511	0.117128083243933	0.293663922594121	138	GATA4|TCAP|ADORA1|TNNI3|KCNE4|LIMCH1|TRPM4|RANGRF|RYR2|ATP2A2|ATP2A1|TTN|MYBPC3|ADRB2|MYH14|ACTA2|SCN3B|PARVA|KCNE3|NOS1AP|MYO1B|LUZP1|SYNE2|SNTA1|SGCD|TNNC1|WASL|CCDC88C|ABCC9|PLN|KCNJ5|MYL6B|GSN|MYL6|KCNJ3|NEDD4L|SCN2A|GJC1|EMP2|MYH4|PDE4B|JUP|ACTC1|CAV3|SHTN1|ATP1A1|KCNJ2|SUMO1|SCN3A|PDPN|EPDR1|MYH8|MYO1H|FNBP1L|SLC9A1|KCNJ8|MYH9|KCNA5|ZEB2|MYO1A|MYO9B	GO_BP
