pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
HALLMARK_ADIPOGENESIS	0.962037962037962	0.984863773965691	0.00906269502060309	0.146703967556451	0.365462110413398	189	GPX3|ALDH2|HIBCH|TALDO1|LPCAT3|HADH|APOE|CHUK|DLAT|ATP5PO|DRAM2|ANGPTL4|MYLK|ITSN1|COQ9|DHRS7B|HSPB8|MTARC2|SLC19A1|PLIN2|CD302|GPD2|IFNGR1|GPAT4|EPHX2	Hallmark
HALLMARK_ALLOGRAFT_REJECTION	1.15599254736327e-08	5.77996273681633e-07	0.747739663149885	0.830206875530097	2.06997269257798	183	C2|LTB|HLA-DQA1|HLA-DRA|TNF|HLA-DOB|TAP2|TAP1|HLA-DMB|HLA-DMA|HLA-E|STAT4|HLA-G|HLA-DOA|HLA-A|STAT1|TAPBP|IRF8|IL12A|ICAM1|IRF7|EIF5A|FCGR2B|ETS1|IL11|CCL22|ITGAL|CD7|PTPRC|IL10|IFNG|CD80|IL12B|PTPN6|ST8SIA4|IL18|JAK2|LYN	Hallmark
HALLMARK_ANDROGEN_RESPONSE	0.947686116700201	0.984863773965691	0.0114177828322783	0.115958036102628	0.292348302217081	93	SPDEF|ARID5B|PMEPA1|ACTN1|ELL2|B4GALT1|ZBTB10|TNFAIP8|FADS1|UBE2I|FKBP5|PTK2B|TMPRSS2|CDC14B|ANKH|ADRM1|PGM3|CCND1|DBI|SCD|UAP1|HSD17B14|CENPN|CDK6|ZMIZ1|H1-0|UBE2J1|MAP7|INSIG1|ABHD2|IDI1|SLC38A2|MAF|HPGD|CCND3|MAK|MERTK|HMGCR|SORD|PA2G4|HOMER2|DNAJB9|SEC24D	Hallmark
HALLMARK_ANGIOGENESIS	0.840484048404841	0.984863773965691	0.025411808387565	0.15563198324626	0.425229415008934	32	JAG2|LUM|CCND2|VCAN|FGFR1|VAV2|COL5A2|COL3A1|PTK2|PRG2|PF4|THBD|SERPINA5|PGLYRP1	Hallmark
HALLMARK_APICAL_JUNCTION	0.120879120879121	0.695139584028473	0.123257226381337	0.568207023720401	1.4168867170077	185	PBX2|CDSN|DHX16|LAMC2|ICAM1|ICAM4|ICAM5|HRAS|GRB7|CADM3|FLNC|CLDN4|CX3CL1|PTPRC|CLDN7	Hallmark
HALLMARK_APICAL_SURFACE	0.625133120340788	0.984863773965691	0.0383205781976994	0.231366137109123	0.617134909841896	40	SLC2A4|CX3CL1|CRYBG1|LYN|B4GALT1|GSTM3|SLC22A12	Hallmark
HALLMARK_APOPTOSIS	0.111	0.695139584028473	0.129442887745046	0.583120443513016	1.46164921631031	151	TNF|TAP1|IER3|GPX3|CD44|ERBB2|ENO2|IL18|VDAC2|RELA|LEF1	Hallmark
HALLMARK_BILE_ACID_METABOLISM	0.938693467336683	0.984863773965691	0.01221929569568	0.123036761863503	0.309471453948727	103	PEX26|BBOX1|HAO1|MLYCD|PXMP2|GNMT|PEX6|ATXN1|FADS1|ALDH8A1|FADS2|SLC23A2|SLC27A2|EPHX2|LONP2|APOA1|ABCA4|HSD3B7|PIPOX|NUDT12|PRDX5|BCAR3|CYP46A1|LCK|ACSL5|SULT2B1|ACSL1|PECR|NR1H4|NR1I2|PEX11G|PEX16|SOAT2|CYP27A1|IDI1|HSD17B4|LIPE|CROT|CAT|DIO1	Hallmark
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.856122448979592	0.984863773965691	0.0200480391102353	0.155672550113683	0.398887400763153	70	ATXN2|FDFT1|NIBAN1|SQLE|ADH4|GSTM2|FADS2|TM7SF2|ERRFI1|STARD4|FBXO6|GPX8	Hallmark
HALLMARK_COAGULATION	0.125125125125125	0.695139584028473	0.120985142145252	0.578871569682419	1.46444631940639	126	CFB|C2	Hallmark
HALLMARK_COMPLEMENT	0.00209041115341923	0.0261301394177404	0.431707695803346	0.707364591483451	1.76257299452222	188	CFB|C2|HSPA1A|NOTCH4|PSMB9|ITGAM|TNFAIP3|PRSS36|SH2B3|IRF7|GRB2|CTSB|CP	Hallmark
HALLMARK_DNA_REPAIR	0.24	0.775079570906519	0.0813027345384498	0.52452168871727	1.31921439170256	132	NELFE|POLR1H|RFC2|POM121|VPS37D|BCAM|SEC61A1|STX3|SF3A3|COX17|NT5C|VPS37B|POLD1|POLR2J|HCLS1|PCNA	Hallmark
HALLMARK_E2F_TARGETS	0.365634365634366	0.882450882450882	0.0601186142531851	0.455473433611649	1.13768543020616	180	TCF19|TUBB|PTTG1|DCLRE1B|RFC2|GINS3|DNMT1|UBE2S|NASP|H2AX|H2AZ1	Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.86013986013986	0.984863773965691	0.0183973177537706	0.238423099014195	0.594347648776845	187	TNFAIP3|LAMC2|CD44|LAMC1|ELN|RGS4|FAP|ENO2|PVR|PMEPA1|COL11A1|NOTCH2|LUM|DCN|HTRA1|APLP1|MYLK|COL16A1|FGF2|FBLN2|ITGA5|IL15|INHBA|GEM|VCAN|FAS|IGFBP2|ID2|TFPI2|NID2|P3H1|ACTA2|SPARC|TPM4|CALU|PCOLCE|CRLF1|COL5A2|BDNF|MATN2|COL3A1|RHOB|ITGB3|EFEMP2|TGFBR3|PCOLCE2|SGCD|TGM2|MYL9|COL4A1|TIMP3|COL6A3|OXTR|GPX7	Hallmark
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.708291708291708	0.984863773965691	0.0292811015816512	0.321994905144722	0.801863220203453	190	MICB|CD44|KAZN|FDFT1|CLDN7|JAK2|BLVRB|LRIG1|RAB31|MAPT|FLNB|B4GALT1|RASGRP1|FOXC1|NCOR2|HSPB8|XBP1|NHERF1|AKAP1|SCNN1A|MAST4|SLC27A2|FKBP5|SYNGR1|ELF3|P2RY2|TMPRSS3|OLFML3|TGIF2	Hallmark
