pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN	0.988843813387424	0.998574937084988	0.00745009291296374	0.0821768105877331	0.213645360886066	79	RASSF5|MAST3|ZNF341|SRRM1|MTMR3|SORL1|LASP1|FBXL18|WDR1|ARID3A	ImmuneSigDB
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_UP	0.0623084780388151	0.374735722358886	0.179782316298324	0.658895867849422	1.71589865332493	67	HLA-C|RPS18|SCGN	ImmuneSigDB
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_DN	0.036879999777162	0.296070274452688	0.321775918075361	-0.248140372043746	-1.70726780477081	27	PSMD13|RAB7A|DNAJB12|HBP1|MAEA|PARN|CORO1A|OSTF1|KCTD2|ARAP3|WLS|DPEP2|PSMC1|ATG4B|ARPC1B|NUDT5|MAPRE1	ImmuneSigDB
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_UP	0.295698924731183	0.733774038461538	0.0741758965588009	0.525957779920075	1.39083442967474	32	OR11A1	ImmuneSigDB
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_DN	0.606811145510836	0.925417661097852	0.0382416816260774	0.279361336227512	0.724868025110199	58	FCGR3A|C1QTNF2|MED1|PMEPA1|IRF3|R3HDM4|GFRA4|FKBP5|PRR5|RFX5|FGF23|SLC35G6|ATP1A3|SAP30|BDNF|GUK1|KCNJ10|SGCA|GMPPB|PTPN7|ST13P4|B4GALT3|MEGF8|SPRYD3	ImmuneSigDB
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_UP	0.532397408207343	0.899900232790156	0.0463227785794633	0.277631539182108	0.726947779816472	34	SLU7|IPP|NFKBIZ|ING3|ARLN|ATG3|CIAO1|MYOF|FUT8-AS1|RPN2	ImmuneSigDB
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_UP	1	1	0.0137183520206939	0.0792794427609022	0.20901377465118	31	ZNF568|ALDH8A1|ING3|EXO5|SOD2-OT1|STAR|TMEM156|CDK6|ZNF320|ICA1L|KCTD7|CAMK2A|ITM2B|BMP8B|NME2|TAOK3|SIGLEC6|HBE1|QNG1|TMEM70|RAD51|HTR2A|ZNF93|DTNA|HECA|IGFBP1|RASSF6|PCYOX1	ImmuneSigDB
BUCASAS_PBMC_FLUARIX_FLUVIRIN_CAUCASIAN_MALE_AGE_18_40YO_HIGH_RESPONDERS_1DY_TOP_FUNCTIONAL_NETWORK_POSITIVE	0.0751173708920188	0.409160213154598	0.175204047558551	0.820932764490507	2.14136616378345	18	HLA-G|STAT1|TAPBP|DAPP1	ImmuneSigDB
DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_DN	0.811138014527845	0.980863217576187	0.0320704174637537	0.193507713800218	0.497347145088687	16	OPCML|ABCB4|RCVRN|ARHGAP11A|RIN2|IFNA1|RBM6	ImmuneSigDB
DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_UP	0.372507869884575	0.810746896143993	0.0615706755421678	0.474398013502657	1.22255040867521	46	ZSCAN12|PSMD3|CIITA|SPRR2A|GIGYF2|RYR2|DARS1|BBC3|SLC19A1|RNASE1	ImmuneSigDB
ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP	0.43687374749499	0.842258112583285	0.0519512476197082	0.440496960434354	1.11608506202609	113	IL1RN|STAT1|IRF7|IFIH1|SHFL|ETV7|SRGAP2|USP18|BST2|MVB12A|SP140|SIGLEC1|IFI16|MT1HL1|OASL|ZC3HAV1|ANKRD22|RNF213|HES4|ISG15|RIGI|TNFSF13B|MX2|BATF2|DDX60|CCL8|APOBEC3A|FBXO6|STAT2|IFI44L|DDX60L|PARP9	ImmuneSigDB
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_DN	0.821428571428571	0.982004234297812	0.16823816568964	-0.0990996238569567	-0.722340195793225	31	TP53INP1|DIP2A|FRY|SH3YL1|IRS2	ImmuneSigDB
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP	0.443309499489275	0.84456869469983	0.0521630305460055	0.414033378863728	1.07717505626698	71	IL1RN|IRF7|IFIH1|ETV7|USP18|SIGLEC1|OASL|RNF213|ISG15|RIGI|MX2|DDX60|FBXO6|STAT2|IFI44L|DDX60L|CCR1|PARP9	ImmuneSigDB
ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP	0.0655209452201934	0.384057028384109	0.179782316298324	0.732455305575808	1.89487454791108	38	TNF|STAT1|IRF7|IFIH1|IFNG|IFNA5|IL15|IFNA16|IFNA10|IFNA17|IFNA4|IFNA7|IFNA21|IFNA14|RIGI|IFNA2|HSH2D	ImmuneSigDB
ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NON_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP	0.581730769230769	0.920922885453066	0.0471642455670861	0.265318477106107	0.686448323773246	17	RASGRP1|ALDH8A1|RIGI|HSH2D|CD160|USF1|TLR3|PF4|TNFSF10|NEXN|ATP8A1	ImmuneSigDB
