pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.116279069767442	0.600951374207188	0.126875729929857	0.61750518972695	1.57862815611916	82	RNF5|ABCF1	Reactome
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.191320882831435	0.796819940583667	0.249246554383295	-0.277571419162039	-1.39341458024103	16	ABCA3|ABCA10|ABCA6|ABCG8|ABCG5|PEX19|ABCA9|ABCD3|ABCA12|ABCD2|PEX3|ABCA2|ABCG4|ABCA7	Reactome
REACTOME_ABC_TRANSPORTER_DISORDERS	0.252307692307692	0.896480769230769	0.0799858801499946	0.580670467241769	1.47648972422817	59	RNF5	Reactome
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.51140456182473	0.939919918356576	0.0530212512043078	0.28626040986831	0.73864727564034	16	UBE2S|ANAPC7|CDC26|UBE2E1|ANAPC2|ANAPC4	Reactome
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.897959183673469	0.974976864495278	0.0265350909115755	0.161901878287569	0.417760812168129	16	CCND2|CCND1|CDKN1B|CDK6|CDK4|CCND3|CDKN1A|E2F2|E2F1|RB1	Reactome
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.0722477064220183	0.433067867036011	0.176694268938498	0.792477522162692	2.05103300611388	23	NELFE	Reactome
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.594306049822064	0.939919918356576	0.0455878202571231	0.250322713383036	0.650422480955417	17	STX1A|RAB3A	Reactome
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.494432071269488	0.938807510002273	0.0511147954416412	0.287759423443367	0.753046883941856	29	ITCH|JAG2|MIB2|UBA52|DNER|DLL1|NEURL1|DTX4|ARRB1|APH1B|DTX1|ADAM10|RPS27A|NOTCH1|UBB|PSEN2|UBC|NCSTN|APH1A|PSENEN	Reactome
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	1.21086830312159e-25	6.46327858222412e-23	1.31101476274061	0.963148505863224	2.45793027244211	64	H3C11|H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H3C10|H2BC13|H2BC17|H3C12|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1	Reactome
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.588028169014085	0.939919918356576	0.0455878202571231	0.250381829216669	0.644218497014532	20	MAPKAPK2|MAP2K6|UBA52|MAPK11|TAB1|TAB2	Reactome
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.778280542986425	0.970056349541365	0.0307752597613667	0.181012831896676	0.470431367645731	25	TUBA8|PRKAB2|MAPT|PRKAA2|TUBB3|PRKAA1|TUBB2B|TUBB1|TUBB4B|TUBB2A|TUBB6|TUBA4A|TUBA4B	Reactome
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	7.62445387761674e-17	1.92644534641116e-15	1.05746357275086	0.912788481653628	2.28446036509941	118	H3C11|H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H3C10|H2BC13|H2BC17|H3C12|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1	Reactome
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.550308008213552	0.939919918356576	0.0425023180036553	0.347309622894882	0.888887233874582	56	PTTG1|UBE2S|PSMD3|ANAPC7|PSMC6|PSMB3|CDK1|PSMA3|CDC20|UBA52|CDC26|PSMB6|PSMD6|PSMB4|PSMA7|UBE2E1|PLK1|ADRM1|CCNA2|ANAPC2|PSMC4|ANAPC4|PSMA1|PSMB1|PSMD14|PSMB7	Reactome
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.934138309549945	0.980463680783597	0.0191546578437244	0.124718452081298	0.325059248551976	34	RFC2|RAD9B|MCM6	Reactome
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.895671476137625	0.974976864495278	0.0223699288741888	0.140105100586653	0.367588244682458	28	PPP1R13B|BBC3|DYNLL1|BCL2L11|BCL2|YWHAH|BID|YWHAE	Reactome
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.573248407643312	0.939919918356576	0.0421619430092452	0.257179216320162	0.676006149407936	38	FDFT1|MED1|MTF1|SQLE|CHD9|GGPS1|ACACB|TM7SF2	Reactome
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE	0.266903914590747	0.904764191390842	0.0847985102819124	0.544451683915249	1.41466833043888	17	IRF7|PTPN11|TRAF3|IKBKE|IRF3	Reactome
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.668146503884573	0.952675399056053	0.0371479221137289	0.214075664986661	0.561661906612792	28	GNG4|GNG7|PLCB1|GNG2|GNGT2|GNG11|GNB2|GRIK5|GNB4	Reactome
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.979028697571744	0.99280456263678	0.016356070983033	0.095943018364399	0.251646491369134	31	MMP15|MMP7|MMP24|MMP9|COL18A1|PLG|TPSAB1|CTSG|PRSS1|SPOCK3|KLKB1	Reactome
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.606846473029046	0.939919918356576	0.0384786917635432	0.262740486974137	0.679152362837343	51	PSMD3|RELA|CHUK|PRKCB|PSMC6|PSMB3|PSMA3|UBA52|PSMB6|PSMD6|PSMB4|PSMA7|SKP1|ADRM1|BCL10|PSMC4|PSMA1|PSMB1|FBXW11|PSMD14|NFKB1|PSMB7	Reactome
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.929221435793731	0.980463680783597	0.013628036219219	0.124665547211208	0.317194129221003	83	HRAS|TUBA8|PRKAB2|PRKAR1A|MAPK1|MAPT|RASGRF1|NRGN|GRIN2C|PRKAA2|APBA1|CAMK2G|GRIA4	Reactome
REACTOME_ACTIVATION_OF_SMO	0.3570581257414	0.934136988406113	0.0696133438850965	0.36941588904843	0.959866549111613	17	SMO|BOC|CSNK1A1|ARRB1|PTCH1|EVC|EVC2|GAS8|CDON|EFCAB7|GRK2	Reactome
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.43167701863354	0.934136988406113	0.0540088272801684	0.412117017310062	1.06930611317211	49	RPS18|EIF4H|EIF3G|RPS25|RPS28|RPS20|RPS15A|RPS5|FAU	Reactome
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.927616926503341	0.980463680783597	0.0204893625108019	0.128376120789868	0.335951596568233	29	PRIM2|MCM6|POLE3|MCM4|ORC1|ORC4|POLE2|DBF4|CDC6|MCM5	Reactome
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.519685039370079	0.939919918356576	0.0492917662312669	0.27388402356456	0.713550062659498	26	TMEM86B|LPCAT3|PLBD1|PLA2G2F|PLA2R1|PLA2G4C|PLAAT3|MBOAT2|PLB1|PLA2G4F|PLA2G4D	Reactome
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.55937846836848	0.939919918356576	0.0453152441270267	0.256586564578945	0.673196082710365	28	MBOAT1|LPCAT3|PLBD1|PLA2G2F|PLA2R1|PLA2G4C|PLAAT2|PLAAT3|MBOAT2|PLAAT4|PLA2G4F|PLA2G4D|PLA2G2D|PLA2G3|ABHD4	Reactome
