pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
HALLMARK_ALLOGRAFT_REJECTION	1.15599254736327e-08	5.77996273681633e-07	0.747739663149885	0.830206875530097	2.06997269257798	183	C2|LTB|HLA-DQA1|HLA-DRA|TNF|HLA-DOB|TAP2|TAP1|HLA-DMB|HLA-DMA|HLA-E|STAT4|HLA-G|HLA-DOA|HLA-A|STAT1|TAPBP|IRF8|IL12A|ICAM1|IRF7|EIF5A|FCGR2B|ETS1|IL11|CCL22|ITGAL|CD7|PTPRC|IL10|IFNG|CD80|IL12B|PTPN6|ST8SIA4|IL18|JAK2|LYN	Hallmark
HALLMARK_COMPLEMENT	0.00209041115341923	0.0261301394177404	0.431707695803346	0.707364591483451	1.76257299452222	188	CFB|C2|HSPA1A|NOTCH4|PSMB9|ITGAM|TNFAIP3|PRSS36|SH2B3|IRF7|GRB2|CTSB|CP	Hallmark
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00115861891704726	0.0193103152841209	0.45505986738723	0.773343516521222	1.94538720910787	96	HLA-C|TAP1|PSMB9|PSMB8|TRIM26|IRF7|TRAFD1|IFIH1|USP18|IFI30|C1S|SP110|BST2|MVB12A	Hallmark
HALLMARK_INTERFERON_GAMMA_RESPONSE	5.03497881164549e-08	1.25874470291137e-06	0.719512826338911	0.807096203214183	2.0029164268519	195	CFB|HLA-DQA1|HLA-B|HLA-DRB1|TAP1|PSMB9|PSMB8|HLA-DMA|TRIM26|STAT4|HLA-G|IRF5|HLA-A|STAT1|TNFAIP3|TAPBP|IRF8|ICAM1|IRF7|BANK1|TRAFD1|IFIH1|SECTM1|IL10RA|USP18|CIITA|PTPN6|IFI30|C1S|ST8SIA4|SP110|ARID5B|BST2|JAK2	Hallmark
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	1.21086830312159e-25	6.46327858222412e-23	1.31101476274061	0.963148505863224	2.45793027244211	64	H3C11|H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H3C10|H2BC13|H2BC17|H3C12|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1	Reactome
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	7.62445387761674e-17	1.92644534641116e-15	1.05746357275086	0.912788481653628	2.28446036509941	118	H3C11|H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H3C10|H2BC13|H2BC17|H3C12|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1	Reactome
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	5.89800016072505e-11	8.82371866150576e-10	0.839088935621274	0.828041393375057	2.02268735230956	233	CSNK2B|H3C11|H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H3C10|H2BC13|H2BC17|H3C12|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1	Reactome
REACTOME_AMYLOID_FIBER_FORMATION	5.01780878345107e-17	1.39152404555704e-15	1.06720998682811	0.921933444438693	2.32228959288491	106	H3C11|H4C13|H4C12|H2BC15|H4C11|H2AC14|H2BC14|H3C10|H2BC13|H2BC17|H3C12|H4C9|H2BC11|H2BC12|H2BC8|H2AC8|H3C6|H4C5|H2AC7|H2BC7|H3C4|H4C4|H2BC6|H2BC5|H4C6|H3C7|H2BC9|H2AC6|H3C8|H2BC10|H4C8|H4C2|H2AC4|H3C2|H3C3|H2BC3|H3C1|H4C1|H4C3|H2BC4|H2BC1|TSPAN33	Reactome
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	1.93419248308602e-07	2.29080922215501e-06	0.690132458796796	0.946555816122098	2.46606192327033	26	HLA-B|HLA-C|TAP2|TAP1|HLA-E|HLA-F|HLA-G|HLA-A|TAPBP	Reactome
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	1.92671843696249e-07	2.29080922215501e-06	0.690132458796796	0.874607617923221	2.21625314820156	87	HLA-B|HLA-C|TAP2|TAP1|PSMB9|PSMB8|HLA-E|NCF2|HLA-F|HLA-G|HLA-A|TAPBP	Reactome
