query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection
query_1	TRUE	2.49441917230533e-13	13	265	10	0.0377358490566038	0.769230769230769	GO:0002399	GO:BP	MHC class II protein complex assembly	16268	921	GO:0002396	IDA IBA,IBA,IBA,IBA,IBA,IDA IMP IBA,IDA IBA,IBA,IBA,IBA	HLA-DRA,HLA-DQA2,HLA-DRB5,HLA-DOB,HLA-DQB2,HLA-DMB,HLA-DMA,HLA-DPA1,HLA-DOA,HLA-DPB1
query_1	TRUE	2.49441917230533e-13	13	265	10	0.0377358490566038	0.769230769230769	GO:0002503	GO:BP	peptide antigen assembly with MHC class II protein complex	16268	1024	GO:0002399|GO:0002495|GO:0002501	IDA IBA,IBA,IBA,IBA,IBA,IDA IBA,IDA IBA,IBA,IBA,IBA	HLA-DRA,HLA-DQA2,HLA-DRB5,HLA-DOB,HLA-DQB2,HLA-DMB,HLA-DMA,HLA-DPA1,HLA-DOA,HLA-DPB1
query_1	TRUE	3.55210488767587e-11	18	265	10	0.0377358490566038	0.555555555555556	GO:0002501	GO:BP	peptide antigen assembly with MHC protein complex	16268	1022	GO:0002396|GO:0048002|GO:0065003	IDA IBA,IBA,IBA,IBA,IBA,IDA IBA,IDA IBA,IBA,IBA,IBA	HLA-DRA,HLA-DQA2,HLA-DRB5,HLA-DOB,HLA-DQB2,HLA-DMB,HLA-DMA,HLA-DPA1,HLA-DOA,HLA-DPB1
query_1	TRUE	3.55210488767587e-11	18	265	10	0.0377358490566038	0.555555555555556	GO:0002396	GO:BP	MHC protein complex assembly	16268	918	GO:0065003	IDA IBA,IBA,IBA,IBA,IBA,IDA IMP IBA,IDA IBA,IBA,IBA,IBA	HLA-DRA,HLA-DQA2,HLA-DRB5,HLA-DOB,HLA-DQB2,HLA-DMB,HLA-DMA,HLA-DPA1,HLA-DOA,HLA-DPB1
query_1	TRUE	6.17700800695845e-05	8	19	3	0.157894736842105	0.375	GO:2000427	GO:BP	positive regulation of apoptotic cell clearance	16268	25299	GO:0043277|GO:0050766|GO:2000425	IGI,IGI,IMP	C4B,C4A,C2
query_1	TRUE	0.0001321692175926	10	19	3	0.157894736842105	0.3	GO:2000425	GO:BP	regulation of apoptotic cell clearance	16268	25297	GO:0043277|GO:0050764	IGI,IGI,IMP	C4B,C4A,C2
query_1	TRUE	0.00224663499094734	15	112	4	0.0357142857142857	0.266666666666667	GO:0045953	GO:BP	negative regulation of natural killer cell mediated cytotoxicity	16268	11583	GO:0001911|GO:0002716|GO:0042267|GO:0042269	IDA,IDA,IDA IMP,IDA	HLA-B,HLA-F,HLA-G,HLA-E
query_1	TRUE	0.00224663499094734	15	112	4	0.0357142857142857	0.266666666666667	GO:0002716	GO:BP	negative regulation of natural killer cell mediated immunity	16268	1232	GO:0002228|GO:0002707|GO:0002715|GO:0045824	IDA,IDA,IDA IMP,IDA	HLA-B,HLA-F,HLA-G,HLA-E
query_1	TRUE	0.00513001191987236	6	112	3	0.0267857142857143	0.5	GO:0042270	GO:BP	protection from natural killer cell mediated cytotoxicity	16268	9975	GO:0045953	IDA,IDA,IDA	HLA-B,HLA-G,HLA-E
query_1	TRUE	0.00624526146763477	19	112	4	0.0357142857142857	0.210526315789474	GO:0001911	GO:BP	negative regulation of leukocyte mediated cytotoxicity	16268	526	GO:0001909|GO:0001910|GO:0002704|GO:0031342	IDA,IDA,IDA IMP,IDA	HLA-B,HLA-F,HLA-G,HLA-E
query_1	TRUE	0.00638237525866233	8	303	4	0.0132013201320132	0.5	GO:0002445	GO:BP	type II hypersensitivity	16268	966	GO:0002444|GO:0002524|GO:0016064	IDA,IDA IBA,IBA,IBA TAS	HLA-E,FCGR3A,FCGR2A,FCGR2B
query_1	TRUE	0.00638237525866233	8	303	4	0.0132013201320132	0.5	GO:0001794	GO:BP	type IIa hypersensitivity	16268	449	GO:0002445	IDA,IDA IBA,IBA,IBA TAS	HLA-E,FCGR3A,FCGR2A,FCGR2B
query_1	TRUE	0.00638237525866233	8	303	4	0.0132013201320132	0.5	GO:0001788	GO:BP	antibody-dependent cellular cytotoxicity	16268	448	GO:0001794|GO:0001909	IDA,IDA IBA,IBA,IBA TAS	HLA-E,FCGR3A,FCGR2A,FCGR2B
query_1	TRUE	0.00638237525866233	8	303	4	0.0132013201320132	0.5	GO:2001198	GO:BP	regulation of dendritic cell differentiation	16268	25944	GO:0097028|GO:1902105	IMP,IDA,IMP,TAS	HLA-B,HLA-G,AGER,FCGR2B
query_1	TRUE	0.00971986061819704	8	337	4	0.0118694362017804	0.5	GO:0002578	GO:BP	negative regulation of antigen processing and presentation	16268	1097	GO:0002577|GO:0002683|GO:0019882	IDA,IDA,TAS,ISS	HLA-DOB,HLA-DOA,FCGR2B,CD68
query_1	TRUE	0.011600072570703	22	112	4	0.0357142857142857	0.181818181818182	GO:0031342	GO:BP	negative regulation of cell killing	16268	7094	GO:0001906|GO:0031341|GO:0048523	IDA,IDA,IDA IMP,IDA	HLA-B,HLA-F,HLA-G,HLA-E
query_1	TRUE	0.015610765982704	8	380	4	0.0105263157894737	0.5	GO:0032819	GO:BP	positive regulation of natural killer cell proliferation	16268	7786	GO:0001787|GO:0032816|GO:0032817|GO:0050671	IDA,IDA,IDA,IDA	HLA-E,FCGR3A,JAK2,TYK2
query_1	TRUE	0.0227275038555444	6	1417	5	0.00352858151023289	0.833333333333333	GO:0015747	GO:BP	urate transport	16268	4842	GO:0015711|GO:0071705	IMP IBA,IDA IBA,IDA IMP,IMP,IDA	SLC17A1,SLC17A3,SLC22A12,ABCC4,SLC22A13
query_1	TRUE	0.0385069871804186	2	112	2	0.0178571428571429	1	GO:0002477	GO:BP	antigen processing and presentation of exogenous peptide antigen via MHC class Ib	16268	998	GO:0002428|GO:0002478	IDA,IDA	HLA-F,HLA-E
query_1	TRUE	0.0425434441283223	12	303	4	0.0132013201320132	0.333333333333333	GO:0002524	GO:BP	hypersensitivity	16268	1044	GO:0002438	IDA,IDA IBA,IBA,ISS IBA TAS	HLA-E,FCGR3A,FCGR2A,FCGR2B
query_1	TRUE	0.0451216690132285	10	380	4	0.0105263157894737	0.4	GO:0032817	GO:BP	regulation of natural killer cell proliferation	16268	7784	GO:0001787|GO:0032814|GO:0050670	IDA,IDA,IDA,IDA	HLA-E,FCGR3A,JAK2,TYK2
query_1	TRUE	5.2737246959669e-22	41	130	16	0.123076923076923	0.390243902439024	GO:0042605	GO:MF	peptide antigen binding	17454	5128	GO:0003823|GO:0042277	IDA IBA,IBA,ISS IBA,IBA,IDA,IBA,IDA IBA,IDA IBA,IDA NAS,IBA,IDA IBA,IDA IBA,IDA IMP IBA,IBA,IBA,IDA IBA	HLA-DRA,HLA-DQA2,HLA-DRB5,HLA-DOB,TAP2,HLA-DQB2,HLA-B,HLA-C,TAP1,MICB,HLA-F,HLA-G,HLA-E,HLA-DMB,HLA-DMA,HLA-DPA1
query_1	TRUE	2.35611564909643e-11	169	130	16	0.123076923076923	0.0946745562130178	GO:0003823	GO:MF	antigen binding	17454	355	GO:0005488	IDA IBA,IBA,ISS IBA,IBA,IDA,IBA,IDA IBA,IDA IBA,IDA NAS,IBA,IDA IBA,IDA IBA,IDA IMP IBA,IBA,IBA,IDA IBA	HLA-DRA,HLA-DQA2,HLA-DRB5,HLA-DOB,TAP2,HLA-DQB2,HLA-B,HLA-C,TAP1,MICB,HLA-F,HLA-G,HLA-E,HLA-DMB,HLA-DMA,HLA-DPA1
query_1	TRUE	1.54625123524907e-10	24	265	10	0.0377358490566038	0.416666666666667	GO:0023026	GO:MF	MHC class II protein complex binding	17454	3581	GO:0023023	HDA IBA,IBA,IBA,IDA IBA,IBA,IDA IBA,IDA IBA,IBA,IDA IBA,IBA	HLA-DRA,HLA-DQA2,HLA-DRB5,HLA-DOB,HLA-DQB2,HLA-DMB,HLA-DMA,HLA-DPA1,HLA-DOA,HLA-DPB1
query_1	TRUE	4.57043200002121e-09	32	265	10	0.0377358490566038	0.3125	GO:0023023	GO:MF	MHC protein complex binding	17454	3578	GO:0044877	HDA IBA,IBA,IBA,IDA IBA,IBA,IDA IBA,IDA IBA,IBA,IDA IBA,IBA	HLA-DRA,HLA-DQA2,HLA-DRB5,HLA-DOB,HLA-DQB2,HLA-DMB,HLA-DMA,HLA-DPA1,HLA-DOA,HLA-DPB1
query_1	TRUE	1.46571090023342e-08	7	94	5	0.0531914893617021	0.714285714285714	GO:0046977	GO:MF	TAP binding	17454	5739	GO:0005515	IPI,IDA,IDA,IPI ISS IBA,IPI	TAP2,HLA-B,HLA-C,TAP1,HLA-F
query_1	TRUE	2.85861236136197e-08	8	238	6	0.0252100840336134	0.75	GO:0032395	GO:MF	MHC class II receptor activity	17454	4176	GO:0004888|GO:0140375	NAS,NAS,TAS,NAS,NAS,TAS	HLA-DRA,HLA-DQA2,HLA-DOB,HLA-DQB2,HLA-DPA1,HLA-DOA
query_1	TRUE	0.000104284240712651	4	94	3	0.0319148936170213	0.75	GO:0046978	GO:MF	TAP1 binding	17454	5740	GO:0046977	IPI,ISS IBA,IPI	TAP2,TAP1,HLA-F
query_1	TRUE	0.000503805423000328	25	20	3	0.15	0.12	GO:0001848	GO:MF	complement binding	17454	246	GO:0005515	IDA,IDA,TAS	C4B,C4A,CFB
query_1	TRUE	0.00155892402942592	9	2055	7	0.00340632603406326	0.777777777777778	GO:0015143	GO:MF	urate transmembrane transporter activity	17454	2307	GO:1901702	IDA,IDA IBA TAS,ISS,IDA TAS,IMP,IDA,IDA IMP	SLC17A4,SLC17A3,SLC17A2,SLC22A12,ABCC4,SLC22A13,ABCG2
query_1	TRUE	0.00155892402942592	9	2055	7	0.00340632603406326	0.777777777777778	GO:1901702	GO:MF	salt transmembrane transporter activity	17454	9898	GO:0022857	IDA,IDA IBA TAS,ISS,IDA TAS,IMP,IDA,IDA IMP	SLC17A4,SLC17A3,SLC17A2,SLC22A12,ABCC4,SLC22A13,ABCG2
query_1	TRUE	0.00465147834058504	2	91	2	0.021978021978022	1	GO:0015433	GO:MF	ABC-type peptide antigen transporter activity	17454	2491	GO:0015440	IDA IMP,IDA IMP IBA	TAP2,TAP1
query_1	TRUE	0.00591309383211211	12	614	5	0.00814332247557003	0.416666666666667	GO:0005436	GO:MF	sodium:phosphate symporter activity	17454	1433	GO:0005315|GO:0015370	TAS,TAS,ISS TAS,ISS IC,TAS	SLC17A1,SLC17A4,SLC17A3,SLC17A6,SLC17A2
query_1	TRUE	0.00873395386109524	5	303	3	0.0099009900990099	0.6	GO:0019770	GO:MF	IgG receptor activity	17454	3441	GO:0019763	IDA IBA,IBA,IDA IBA	FCGR3A,FCGR2A,FCGR2B
query_1	TRUE	0.0148426068729026	3	94	2	0.0212765957446809	0.666666666666667	GO:0046979	GO:MF	TAP2 binding	17454	5741	GO:0046977	IPI,IPI	TAP1,HLA-F
query_1	TRUE	0.0277194596701952	4	91	2	0.021978021978022	0.5	GO:0015440	GO:MF	ABC-type peptide transporter activity	17454	2497	GO:0140359|GO:1904680	IDA IMP IBA,IDA IMP IBA	TAP2,TAP1
query_1	TRUE	0.0391690666778363	14	7787	13	0.00166944908180301	0.928571428571429	GO:0034236	GO:MF	protein kinase A catalytic subunit binding	17454	4683	GO:0019901|GO:0051018	IPI,IMP,IPI,IPI IBA,IPI,IPI,IPI,IPI,IPI IBA,IPI IBA,ISS,IPI IBA,IDA	SOX9,PJA2,CSK,PRKAR1B,EZR,GSK3B,PKIA,GSK3A,PRKAR2B,PRKAR1A,SMO,PRKAR2A,KCNQ1
query_1	TRUE	0.0410669131957675	5	510	3	0.00588235294117647	0.6	GO:0086083	GO:MF	cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication	17454	8305	GO:0086080	IC,IC,IC	JUP,DSG2,PKP2
query_1	TRUE	0.0474997573239179	3	168	2	0.0119047619047619	0.666666666666667	GO:0038177	GO:MF	death receptor agonist activity	17454	5036	GO:0005035|GO:0048018	IDA,IDA	HSPA1A,TNF
