source	term_id	term_name	p_value	intersection_size	query_size	log_pval	overlap_ratio	term_clean
GO:BP	GO:0002376	immune system process	7.11552992194803e-05	16	28	4.14779275072968	57.1428571428571	Immune system process
GO:BP	GO:0006955	immune response	7.11552992194803e-05	14	28	4.14779275072968	50	Immune response
GO:BP	GO:0006952	defense response	8.9305504170476e-05	13	28	4.04912177339366	46.4285714285714	Defense response
GO:BP	GO:0035722	interleukin-12-mediated signaling pathway	0.000123893243372141	3	28	3.9069523776127	10.7142857142857	Interleukin-12-mediated signaling pathway
GO:BP	GO:0070671	response to interleukin-12	0.000138741725332601	3	28	3.85779290910296	10.7142857142857	Response to interleukin-12
GO:BP	GO:0071349	cellular response to interleukin-12	0.000138741725332601	3	28	3.85779290910296	10.7142857142857	Cellular response to interleukin-12
GO:BP	GO:0050776	regulation of immune response	0.000138741725332601	10	28	3.85779290910296	35.7142857142857	Regulation of immune response
GO:BP	GO:0001775	cell activation	0.000144658209871145	10	28	3.83965691355035	35.7142857142857	Cell activation
GO:BP	GO:0050778	positive regulation of immune response	0.000153365204973229	9	28	3.81427316060996	32.1428571428572	Positive regulation of immune response
GO:BP	GO:0002237	response to molecule of bacterial origin	0.000153365204973229	6	28	3.81427316060996	21.4285714285714	Response to molecule of bacterial origin
REAC	REAC:R-HSA-168256	Immune System	0.000159074716049257	14	21	3.79839884331318	66.6666666666667	Immune system
REAC	REAC:R-HSA-8984722	Interleukin-35 Signalling	0.000159074716049257	3	21	3.79839884331318	14.2857142857143	Interleukin-35 signalling
REAC	REAC:R-HSA-1280215	Cytokine Signaling in Immune system	0.000280596297873733	9	21	3.5519180632564	42.8571428571429	Cytokine signaling in immune system
GO:BP	GO:0045321	leukocyte activation	0.000286080058677081	9	28	3.54351241380724	32.1428571428572	Leukocyte activation
GO:BP	GO:0071219	cellular response to molecule of bacterial origin	0.000684731308604032	5	28	3.16447981402971	17.8571428571429	Cellular response to molecule of bacterial origin
GO:BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.000837804436616834	6	28	3.07685734415013	21.4285714285714	Adaptive immune response based on somatic recombinatio...
GO:BP	GO:0001817	regulation of cytokine production	0.000872775020709999	8	28	3.05909769198325	28.5714285714286	Regulation of cytokine production
GO:BP	GO:0001816	cytokine production	0.000872775020709999	8	28	3.05909769198325	28.5714285714286	Cytokine production
REAC	REAC:R-HSA-9020591	Interleukin-12 signaling	0.00362597035679859	3	21	2.44057575069043	14.2857142857143	Interleukin-12 signaling
REAC	REAC:R-HSA-447115	Interleukin-12 family signaling	0.00426012116199773	3	21	2.3705780489633	14.2857142857143	Interleukin-12 family signaling
REAC	REAC:R-HSA-909733	Interferon alpha/beta signaling	0.00813848228240379	3	21	2.08945657764561	14.2857142857143	Interferon alpha/beta signaling
REAC	REAC:R-HSA-877300	Interferon gamma signaling	0.0120827058487599	3	21	1.91783579720551	14.2857142857143	Interferon gamma signaling
REAC	REAC:R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	0.017223392338848	3	21	1.76388130532464	14.2857142857143	Interleukin-4 and interleukin-13 signaling
REAC	REAC:R-HSA-913531	Interferon Signaling	0.0185601878596539	4	21	1.73141763231984	19.0476190476191	Interferon signaling
REAC	REAC:R-HSA-449147	Signaling by Interleukins	0.0191704785629036	5	21	1.71736704546132	23.8095238095238	Signaling by interleukins
