hgnc_symbol	entrezgene_id	CHR	win_start	win_end	gene_p	n_snps	mean_beta	best_snp	best_snp_p	gene_p_adj
ZC3H6	376940	2	112998171	113107640	9.94416059799841e-49	381	0.00629159040926531	rs13019891	2.61001590498646e-51	2.14764036434972e-44
SNORA38	677820	6	31555856	31600987	7.3953573133404e-37	17	-0.00419313916965811	rs1800629	4.35021018431788e-38	3.44488794285949e-33
PRRC2A	7916	6	31553497	31615548	7.83037833177218e-37	18	-0.00870809047100523	rs1800629	4.35021018431788e-38	3.44488794285949e-33
NCR3	259197	6	31546672	31595762	8.26539935020397e-37	19	0.0117226612830941	rs1800629	4.35021018431788e-38	3.44488794285949e-33
AIF1	199	6	31547961	31594798	8.26539935020397e-37	19	0.0117226612830941	rs1800629	4.35021018431788e-38	3.44488794285949e-33
LTB	4050	6	31538302	31585299	9.57046240549934e-37	22	0.0177461522226309	rs1800629	4.35021018431788e-38	3.44488794285949e-33
HLA-DRA	3122	6	32372619	32422823	1.52973170241211e-36	21	-0.0790566048278307	rs2395164	7.28443667815288e-38	4.71965936814203e-33
HLA-DQA2	3118	6	32674119	32724992	4.0420517890509e-34	46	-0.136490301636887	rs1612904	8.78706910663239e-36	1.09120240610165e-30
CYP21A2	1589	6	31971042	32019447	2.51420379812504e-32	1	-0.371565600577062	rs389883	2.51420379812504e-32	6.03325104756739e-29
TNXA	7146	6	31966391	32015249	5.02840759625008e-32	2	-0.223191296345362	rs389883	2.51420379812504e-32	1.08598518856213e-28
C4B	100293534	6	31947539	32013195	1.75994265868753e-31	7	-0.230416983236232	rs389883	2.51420379812504e-32	3.16745679997288e-28
C4B	721	6	31947539	32013195	1.75994265868753e-31	7	-0.230416983236232	rs389883	2.51420379812504e-32	3.16745679997288e-28
HIBCH	26275	2	191044461	191243919	2.18162765704523e-31	42	-0.0442908641442187	rs7582694	9.15529756765933e-33	3.49066667752113e-28
CYP21A1P	1590	6	31938413	31986228	2.26278341831254e-31	9	-0.223022793572183	rs389883	2.51420379812504e-32	3.49066667752113e-28
C4A	721	6	31914801	31980458	3.26846493756255e-31	13	-0.206007310657613	rs389883	2.51420379812504e-32	4.41181482853365e-28
C4A	720	6	31914801	31980458	3.26846493756255e-31	13	-0.206007310657613	rs389883	2.51420379812504e-32	4.41181482853365e-28
DXO	1797	6	31927587	31975069	6.14642848243057e-31	9	-0.179972151138365	rs537160	6.82936498047841e-32	7.7258654777015e-28
MIR1236	100302242	6	31914616	31959717	7.51230147852625e-31	11	-0.202882949623477	rs537160	6.82936498047841e-32	7.7258654777015e-28
NELFE	100302242	6	31909864	31961887	7.51230147852625e-31	11	-0.202882949623477	rs537160	6.82936498047841e-32	7.7258654777015e-28
NELFE	7936	6	31909864	31961887	7.51230147852625e-31	11	-0.202882949623477	rs537160	6.82936498047841e-32	7.7258654777015e-28
STK19	8859	6	31903868	31960598	7.51230147852625e-31	11	-0.202882949623477	rs537160	6.82936498047841e-32	7.7258654777015e-28
C2	717	6	31830562	31923449	3.20762281913578e-28	7	-0.10477814350007	rs652888	8.84215023413912e-29	3.0119578271685e-25
CFB	629	6	31860475	31929861	3.20762281913578e-28	7	-0.0922911762362027	rs652888	8.84215023413912e-29	3.0119578271685e-25
EHMT2	10919	6	31837536	31900464	3.53686009365565e-28	4	0.0101854610182999	rs652888	8.84215023413912e-29	3.05542269770724e-25
ZBTB12	221527	6	31857384	31904769	3.53686009365565e-28	4	0.0101854610182999	rs652888	8.84215023413912e-29	3.05542269770724e-25
SKIV2L	6499	6	31891857	31947532	5.49878197566134e-28	6	-0.17752935931589	rs644045	9.16463662610224e-29	4.56758439724454e-25
BTNL2	56244	6	32351740	32409905	7.42246437439807e-28	24	-0.0434520980829162	rs3117106	3.09269348933253e-29	5.93714678125464e-25
MIR3135B	100616218	6	32707689	32752756	9.56155723055442e-28	26	-0.0644437521483002	rs4273729	3.6775220117517e-29	7.37503398243871e-25
SNORD84	692199	6	31498878	31543955	1.7935306406286e-27	9	0.0782173858452217	rs2855804	3.65021510154783e-28	1.33568556019503e-24
SNORD117	692233	6	31494151	31539226	2.3913741875048e-27	12	-0.00244474732566114	rs2855804	3.65021510154783e-28	1.72155027758471e-24
NFKBIL1	4795	6	31479647	31536606	3.38778009896514e-27	17	-0.00138421378592622	rs2855804	3.65021510154783e-28	2.27852242621506e-24
HCG23	414764	6	32323287	32371463	3.43512270319785e-27	14	0.0134517688119639	rs3129915	2.45365907371275e-28	2.27852242621506e-24
DDX39B	692199	6	31487996	31545225	3.58706128125721e-27	18	0.000475627051705244	rs2855804	3.65021510154783e-28	2.27852242621506e-24
DDX39B	7919	6	31487996	31545225	3.58706128125721e-27	18	0.000475627051705244	rs2855804	3.65021510154783e-28	2.27852242621506e-24
MCCD1	401250	6	31461494	31508009	3.98562364584134e-27	20	-0.0226199454395144	rs2855804	3.65021510154783e-28	2.39104205220098e-24
LTA	4049	6	31504831	31552101	3.98562364584134e-27	10	0.0575297886361509	rs2855812	3.98562364584134e-28	2.39104205220098e-24
ATP6V1G2	534	6	31502239	31551204	4.38418601042547e-27	11	0.0418741997529175	rs2855812	3.98562364584134e-28	2.55906122343673e-24
MUC21	394263	6	30916495	30967680	5.84544865737765e-27	9	0.023779268568185	rs3131783	6.49494295264183e-28	3.23702960649705e-24
MUC22	100507679	6	30943251	31013179	5.84544865737765e-27	9	0.0276387473960561	rs3131783	6.49494295264183e-28	3.23702960649705e-24
C6orf10	10665	6	32246303	32374684	7.11561131376698e-27	29	-0.0228869914150669	rs3129915	2.45365907371275e-28	3.79954102273608e-24
GPSM3	63940	6	32148543	32198300	7.21309357467144e-27	6	0.0613109713218989	rs2071278	1.20218226244524e-27	3.79954102273608e-24
HCG22	285834	6	30986227	31037667	1.64413568236584e-26	22	-0.0616853329986608	rs1419664	7.47334401075384e-28	8.45438055525122e-24
NOTCH4	4855	6	32152620	32226844	2.524582751135e-26	21	0.0137544958396859	rs2071278	1.20218226244524e-27	1.26798636456425e-23
LINC00243	401247	6	30756431	30833436	4.05380850267562e-23	13	0.0248701575440325	rs3131038	3.1183142328274e-24	1.98977505073376e-20
HLA-DRB5	3127	6	32475120	32533064	1.52651412217484e-22	4	0.0165109624107982	rs2894260	3.81628530543709e-23	7.32625011035776e-20
