hgnc_symbol	entrezgene_id	chromosome_name	start_position	end_position	strand	CHR	win_start	win_end
RNU6-58P	100873766	13	23791571	23791673	-1	13	23781571	23826673
SACS-AS1	100506680	13	23993110	24002818	1	13	23958110	24012818
LINC00327	100506697	13	24040710	24061603	1	13	24005710	24071603
GPC6-AS1	100873972	13	94806447	94840245	-1	13	94796447	94875245
SOX21-AS1	100507533	13	95364970	95368500	1	13	95329970	95378500
CLDN10-AS1	100874194	13	96131698	96186164	-1	13	96121698	96221164
DNAJC3-AS1	100289274	13	96300987	96329179	-1	13	96290987	96364179
MIR2276	100313842	13	24736555	24736643	1	13	24701555	24746643
SPATA13-AS1	100874231	13	24826887	24828577	-1	13	24816887	24863577
LINC00359	100887754	13	97593535	97636426	-1	13	97583535	97671426
MIR3170	100422881	13	98860778	98860854	1	13	98825778	98870854
DOCK9-AS1	100874096	13	99484338	99486883	1	13	99449338	99496883
RNU6-83P	100873782	13	99677488	99677599	1	13	99642488	99687599
RNU6-78P	100873778	13	26091257	26091363	1	13	26056257	26101363
DOCK9-AS2	100861541	13	99740073	99740879	1	13	99705073	99750879
UBAC2-AS1	100289373	13	99848631	99852964	-1	13	99838631	99887964
MIR623	693208	13	100008385	100008482	1	13	99973385	100018482
MIR4306	100422861	13	100295313	100295403	1	13	100260313	100305403
CLYBL-AS2	100874063	13	100342335	100343225	-1	13	100332335	100378225
CLYBL-AS1	101927465	13	100378501	100379745	-1	13	100368501	100414745
USP12-AS2	100874071	13	27746396	27757135	1	13	27711396	27767135
SNORD102	26771	13	27829201	27829272	1	13	27794201	27839272
LINC00554	100861542	13	100647153	100650163	-1	13	100637153	100685163
SNORA27	619499	13	27829538	27829663	1	13	27794538	27839663
RNU6-63P	100873768	13	28062275	28062369	1	13	28027275	28072369
PCCA-AS1	100885777	13	101116694	101133411	-1	13	101106694	101168411
PDX1-AS1	100861550	13	28407581	28495541	-1	13	28397581	28530541
PAN3-AS1	100288730	13	28710980	28712330	-1	13	28700980	28747330
RNU6-82P	100873781	13	28806638	28806744	1	13	28771638	28816744
NALCN-AS1	100885778	13	101360579	101711638	1	13	101325579	101721638
RNU6-53P	100873762	13	29277839	29277944	-1	13	29267839	29312944
MIR2681	100616110	13	102619992	102620096	-1	13	102609992	102655096
MTUS2-AS1	100874107	13	30050652	30064242	-1	13	30040652	30099242
MIR4705	100616239	13	102698284	102698354	-1	13	102688284	102733354
LINC00297	100874059	13	30446750	30462542	-1	13	30436750	30497542
FGF14-IT1	283480	13	102944677	103046869	-1	13	102934677	103081869
LINC00572	100861573	13	30492784	30500788	-1	13	30482784	30535788
FGF14-AS1	100874081	13	103019889	103026016	1	13	102984889	103036016
LINC00544	440131	13	30510042	30524625	1	13	30475042	30534625
FGF14-AS2	283481	13	103046980	103048053	1	13	103011980	103058053
LINC00384	101928980	13	30726023	30733758	-1	13	30716023	30768758
RNU6-64P	100873769	13	30855902	30856006	1	13	30820902	30866006
METTL21EP	121952	13	103532449	103548383	1	13	103497449	103558383
LINC00427	100507040	13	30890497	30894040	-1	13	30880497	30929040
DAOA-AS1	282706	13	106111404	106158030	-1	13	106101404	106193030
LINC00426	100188949	13	30914407	30951282	-1	13	30904407	30986282
LINC00343	144920	13	106356629	106416789	1	13	106321629	106426789
LINC00460	728192	13	107028911	107030565	1	13	106993911	107040565
LINC00551	283483	13	107270158	107283707	1	13	107235158	107293707
LINC00443	100874173	13	107306264	107324511	1	13	107271264	107334511
LINC00398	100874158	13	31377343	31384782	1	13	31342343	31394782
TEX26-AS1	100507064	13	31456070	31507983	-1	13	31446070	31542983
MIR1267	100302286	13	108183519	108183596	-1	13	108173519	108218596
FAM155A-IT1	100874375	13	108440690	108487799	-1	13	108430690	108522799
LINC00545	440132	13	31456688	31457532	1	13	31421688	31467532
MYO16-AS1	100885782	13	109816250	109853831	-1	13	109806250	109888831
MIR548X	100422920	21	20058408	20058482	-1	21	20048408	20093482
LINC00676	101409253	13	110380629	110382354	1	13	110345629	110392354
COL4A2-AS2	100129836	13	111108743	111115634	-1	13	111098743	111150634
FRY-AS1	100507099	13	32599451	32605776	-1	13	32589451	32640776
COL4A2-AS1	100874203	13	111154922	111160526	-1	13	111144922	111195526
LINC00368	101927802	13	111748185	111755444	1	13	111713185	111765444
LINC00423	100874167	13	33451569	33485788	-1	13	33441569	33520788
LINC00354	101928616	13	112554299	112555490	1	13	112519299	112565490
LINC00320	387486	21	22114908	22175534	-1	21	22104908	22210534
LINC00403	100505996	13	112761433	112762329	1	13	112726433	112772329
LINC01070	101928698	13	112851664	112855314	1	13	112816664	112865314
LINC01043	101928752	13	112967781	112976072	1	13	112932781	112986072
ATP11A-AS1	100874205	13	113399763	113409007	-1	13	113389763	113444007
LINC00317	378828	21	23095613	23109639	-1	21	23085613	23144639
STARD13-AS	100874241	13	33845516	33855471	1	13	33810516	33865471
GRTP1-AS1	101930262	13	114005988	114016183	1	13	113970988	114026183
GRTP1-AS1	101930007	13	114005988	114016183	1	13	113970988	114026183
LINC00552	100130386	13	114451484	114454062	-1	13	114441484	114489062
GAS6-AS2	100506394	13	114567141	114569806	1	13	114532141	114579806
LINC00308	54143	21	23470936	23488847	1	21	23435936	23498847
MIR320C2	100302195	18	21901650	21901699	1	18	21866650	21911699
LINC00454	100874178	13	114581673	114586624	-1	13	114571673	114621624
LINC00452	643365	13	114586640	114626485	1	13	114551640	114636485
GOLGA6L6	727832	15	20737094	20747114	-1	15	20727094	20782114
LINC00457	100874179	13	35009587	35214822	-1	13	34999587	35249822
LINC00565	100861555	13	114629487	114631817	-1	13	114619487	114666817
MIR548AR	100847035	13	115009980	115010036	1	13	114974980	115020036
MIR4502	100616227	13	115039303	115039383	1	13	115004303	115049383
LINC00445	100507114	13	36271661	36273393	1	13	36236661	36283393
RNU6-71P	100873774	13	36841305	36841411	1	13	36806305	36851411
POTEB2	100996331	15	21040701	21071643	-1	15	21030701	21106643
POTEB2	100287399	15	21040701	21071643	-1	15	21030701	21106643
LINC00571	100874188	13	38624954	38717369	-1	13	38614954	38752369
LINC00437	101929121	13	39107480	39119436	-1	13	39097480	39154436
RNU6-56P	100873764	13	39353561	39353653	1	13	39318561	39363653
MIR4305	100422940	13	40238171	40238272	-1	13	40228171	40273272
SECISBP2L	9728	15	49280673	49338760	-1	15	49270673	49373760
LINC00332	100874127	13	40755946	40763165	1	13	40720946	40773165
LINC00598	646982	13	41025131	41055143	-1	13	41015131	41090143
MIR320D1	100313896	13	41301964	41302011	-1	13	41291964	41337011
MIR621	693206	13	41384902	41384997	1	13	41349902	41394997
TPTE2P5	100616668	13	41396432	41495890	-1	13	41386432	41530890
POTEB	100996331	15	22051853	22083227	-1	15	22041853	22118227
POTEB	100288966	15	22051853	22083227	-1	15	22041853	22118227
POTEB	100287399	15	22051853	22083227	-1	15	22041853	22118227
POTEB	317754	15	22051853	22083227	-1	15	22041853	22118227
TPTE	7179	21	10906201	11029719	-1	21	10896201	11064719
SUGT1P3	283507	13	41482295	41495910	-1	13	41472295	41530910
MIR3168	100422878	13	41675155	41675236	-1	13	41665155	41710236
RNU6-57P	100873765	13	41928693	41928795	-1	13	41918693	41963795
OR7E36P	100506759	13	42005425	42006446	-1	13	41995425	42041446
MIR5006	100847026	13	42142422	42142531	-1	13	42132422	42177531
POTED	388468	21	14982498	15013906	1	21	14947498	15023906
POTED	339010	21	14982498	15013906	1	21	14947498	15023906
POTED	317754	21	14982498	15013906	1	21	14947498	15023906
LINC00284	121838	13	44482850	44604597	1	13	44447850	44614597
AQP4-AS1	147429	18	24235706	24770662	1	18	24200706	24780662
LDLRAD4	753	18	13217497	13652754	1	18	13182497	13662754
SMIM2-AS1	101929212	13	44716682	44813010	1	13	44681682	44823010
SMIM2-IT1	100874377	13	44720606	44732358	-1	13	44710606	44767358
LINC01071	400128	13	44974386	44980120	-1	13	44964386	45015120
LIPI	149998	21	15481134	15583166	-1	21	15471134	15618166
LINC00330	144817	13	45373639	45383766	-1	13	45363639	45418766
RNU6-69P	100873773	13	45711997	45712100	-1	13	45701997	45747100
SNORA31	677814	13	45911615	45911744	-1	13	45901615	45946744
RBM11	54033	21	15588451	15600693	1	21	15553451	15610693
OR4M2	390538	15	22368478	22369561	1	15	22333478	22379561
OR4N4	283694	15	22382382	22383507	1	15	22347382	22393507
TPT1-AS1	100190939	13	45915480	45965872	1	13	45880480	45975872
IGHV4OR15-8	642131	15	22472918	22473353	-1	15	22462918	22508353
HSPA13	6782	21	15743436	15755805	-1	21	15733436	15790805
GOLGA6L1	645202	15	22736246	22746002	1	15	22701246	22756002
GOLGA6L1	440243	15	22736246	22746002	1	15	22701246	22756002
GOLGA6L1	283767	15	22736246	22746002	1	15	22701246	22756002
CPB2-AS1	100509894	13	46626941	46687467	1	13	46591941	46697467
LINC00563	100861554	13	46870580	46871979	-1	13	46860580	46906979
RNU6-68P	100873772	13	46984589	46984692	1	13	46949589	46994692
COPS2	9318	15	49398268	49447858	-1	15	49388268	49482858
SAMSN1	64092	21	15857549	15955723	-1	21	15847549	15990723
HTR2A-AS1	100874082	13	47426278	47430434	1	13	47391278	47440434
TUBGCP5	114791	15	22833395	22873892	1	15	22798395	22883892
SUCLA2-AS1	101929410	13	48575525	48576688	1	13	48540525	48586688
MED4-AS1	100873965	13	48651273	48654127	1	13	48616273	48664127
LINC00441	100862704	13	48870649	48877797	-1	13	48860649	48912797
NRIP1	8204	21	16333556	16437321	-1	21	16323556	16472321
LINC00462	100129597	13	49151110	49152224	-1	13	49141110	49187224
RMDN3	55177	15	41028082	41048049	-1	15	41018082	41083049
CTAGE10P	220429	13	50464727	50467134	1	13	50429727	50477134
MIR3613	100500908	13	50570551	50570637	-1	13	50560551	50605637
DLEU2	406948	13	50601269	50699856	-1	13	50591269	50734856
LINC00158	54072	21	26758133	26804013	-1	21	26748133	26839013
MIR16-1	406950	13	50623109	50623197	-1	13	50613109	50658197
MIR155HG	406947	21	26934221	26947480	1	21	26899221	26957480
MIR155HG	114614	21	26934221	26947480	1	21	26899221	26957480
ST13P4	145165	13	50746225	50747317	1	13	50711225	50757317
LINC00515	282566	21	26955082	26955638	-1	21	26945082	26990638
GCHFR	2644	15	41056218	41059906	1	15	41021218	41069906
DLEU7-AS1	100874074	13	51381992	51423190	1	13	51346992	51433190
RNASEH2B-AS1	100874255	13	51450822	51484848	-1	13	51440822	51519848
WBP11P1	441818	18	30091626	30094597	1	18	30056626	30104597
DNAJC17	55192	15	41060067	41099675	-1	15	41050067	41134675
FAM210A	125228	18	13663346	13726662	-1	18	13653346	13761662
GUCY1B2	2974	13	51568647	51654998	-1	13	51558647	51689998
USP25	29761	21	17102344	17252377	1	21	17067344	17262377
MIR4759	100616243	21	28326280	28326362	1	21	28291280	28336362
LINC00371	647166	13	51656984	51746524	-1	13	51646984	51781524
MIR5693	100847003	13	51922703	51922775	-1	13	51912703	51957775
ST8SIA5	29906	18	44259081	44339220	-1	18	44249081	44374220
INTS6-AS1	100507398	13	52026503	52126500	1	13	51991503	52136500
MIR4703	100616423	13	52126725	52126803	1	13	52091725	52136803
CXADR	1525	21	18884700	18965897	1	21	18849700	18975897
MRPS31P5	100887750	13	52741844	52768600	-1	13	52731844	52803600
RNMT	8731	18	13726659	13764557	1	18	13691659	13774557
PIAS2	9063	18	44388353	44500123	-1	18	44378353	44535123
TPTE2P2	101930578	13	52793479	52908412	-1	13	52783479	52943412
TPTE2P2	644623	13	52793479	52908412	-1	13	52783479	52943412
GALK2	2585	15	49447853	49660066	1	15	49412853	49670066
BTG3	10950	21	18965971	18985265	-1	21	18955971	19020265
C15orf62	643338	15	41062159	41064643	1	15	41027159	41074643
EPPIN-WFDC6	100526773	20	44165625	44176065	-1	20	44155625	44211065
LINC00113	54088	21	29094698	29123552	1	21	29059698	29133552
LINC00314	246705	21	29385682	29395552	1	21	29350682	29405552
WFDC8	90199	20	44179792	44207965	-1	20	44169792	44242965
TPM1	7168	15	63334831	63364114	1	15	63299831	63374114
WFDC9	259240	20	44236578	44259907	-1	20	44226578	44294907
C21orf91	54149	21	19161284	19191703	-1	21	19151284	19226703
OIP5-AS1	729082	15	41576188	41601901	1	15	41541188	41611901
ZNF271	10778	18	32870246	32890730	1	18	32835246	32900730
CRTC3	64784	15	91073157	91188577	1	15	91038157	91198577
MIR187	406963	18	33484781	33484889	-1	18	33474781	33519889
MIR3929	100500864	18	33514051	33514105	-1	18	33504051	33549105
ZFYVE19	84936	15	41099284	41106767	1	15	41064284	41116767
CSTF1	1477	20	54967427	54979518	1	20	54932427	54989518
CHODL	140578	21	19273580	19639690	1	21	19238580	19649690
MIR4318	100422857	18	35237098	35237178	1	18	35202098	35247178
LINC00669	647946	18	36786888	37380282	-1	18	36776888	37415282
